City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
70,Baykit,RU,61.67,96.37,48.63,90,4,4.07,clear sky
71,Touros,BR,-5.1989,-35.4608,82.4,73,36,14.72,scattered clouds
72,Khuzhir,RU,53.1939,107.3397,44.15,87,82,3.56,broken clouds
73,Coahuayana,MX,18.7333,-103.6833,89.73,47,49,7.72,scattered clouds
74,Nowy Dwor Gdanski,PL,54.2131,19.1177,55.17,89,91,7.81,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,65.37,77,45,1.01,scattered clouds
76,Sena Madureira,BR,-9.0656,-68.6569,83.32,62,43,1.48,scattered clouds
77,Cookeville,US,36.1628,-85.5016,78.64,76,20,5.75,few clouds
78,Port Hedland,AU,-20.3167,118.5667,78.85,94,100,6.91,overcast clouds
79,Havoysund,NO,70.9963,24.6622,50.23,80,64,2.08,broken clouds
80,Chulumani,BO,-16.4096,-67.5263,72.32,55,72,5.57,broken clouds
81,Deputatskiy,RU,69.3,139.9,20.71,99,81,4.0,broken clouds
82,Matara,LK,5.9485,80.5353,78.89,90,10,10.78,clear sky
83,Spring Hill,US,28.4769,-82.5255,93.97,57,100,5.01,overcast clouds
84,Nome,US,64.5011,-165.4064,59.16,33,83,7.36,broken clouds
85,Pevek,RU,69.7008,170.3133,34.66,88,42,11.21,scattered clouds
86,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.22,95,100,2.08,overcast clouds
87,Bulgan,MN,48.8125,103.5347,58.03,37,35,4.56,scattered clouds
88,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,5.75,clear sky
89,Crossville,US,35.949,-85.0269,81.18,68,82,4.0,broken clouds
90,Verkhniy Baskunchak,RU,48.2256,46.7217,59.05,89,97,18.05,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,75.49,69,20,11.5,few clouds
92,Coihaique,CL,-45.5752,-72.0662,39.74,83,52,7.76,light rain
93,Manjacaze,MZ,-24.7117,33.8828,64.35,97,95,4.97,overcast clouds
94,Grindavik,IS,63.8424,-22.4338,50.47,66,0,21.85,clear sky
95,Mitsamiouli,KM,-11.3847,43.2844,81.05,75,27,7.23,scattered clouds
96,Qaqortoq,GL,60.7167,-46.0333,36.99,98,100,14.34,light rain
97,Mar Del Plata,AR,-38.0023,-57.5575,61.95,57,0,11.5,clear sky
98,Coleraine,GB,55.1333,-6.6667,60.71,75,54,8.01,broken clouds
99,Sukhobuzimskoye,RU,56.5,93.2728,53.38,63,96,5.46,overcast clouds
100,Sioux Lookout,CA,50.1001,-91.917,51.8,34,75,8.37,broken clouds
101,Dakar,SN,14.6937,-17.4441,73.58,76,49,14.09,scattered clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,100,8.05,overcast clouds
103,Kavieng,PG,-2.5744,150.7967,82.58,68,57,16.82,broken clouds
104,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.94,65,9,9.6,clear sky
105,Sabha,LY,27.0377,14.4283,82.13,9,0,8.19,clear sky
106,Hilo,US,19.7297,-155.09,80.28,80,66,4.0,broken clouds
107,Didwana,IN,27.4,74.5667,90.82,25,12,14.47,few clouds
108,Port Alfred,ZA,-33.5906,26.891,56.17,92,33,3.13,scattered clouds
109,Clyde River,CA,70.4692,-68.5914,24.12,87,100,23.78,light snow
110,Atar,MR,20.5169,-13.0499,108.32,7,18,1.07,few clouds
111,Namatanai,PG,-3.6667,152.4333,79.63,73,85,9.28,overcast clouds
112,Turan,VN,16.0678,108.2208,82.38,89,20,1.14,few clouds
113,San Vicente,AR,-26.6167,-54.1333,66.56,41,94,3.2,overcast clouds
114,Torbay,CA,47.6666,-52.7314,64.27,40,91,11.52,overcast clouds
115,Novyy Svit,UA,47.8059,38.0211,52.88,83,75,9.31,broken clouds
116,Narsaq,GL,60.9167,-46.05,37.62,99,100,6.13,moderate rain
117,Kruisfontein,ZA,-34.0033,24.7314,55.89,78,66,2.06,broken clouds
118,Huarmey,PE,-10.0681,-78.1522,70.14,73,60,9.82,broken clouds
119,Labuhan,ID,-6.8844,112.2051,79.9,83,98,10.22,light rain
120,Vavoua,CI,7.3819,-6.4778,73.02,96,97,4.27,moderate rain
121,Ancud,CL,-41.8697,-73.8203,49.14,66,60,13.53,broken clouds
122,Margate,GB,51.3813,1.3862,66.69,69,70,3.0,broken clouds
123,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,48,11.48,scattered clouds
124,Port Macquarie,AU,-31.4333,152.9167,55.89,85,100,3.13,light rain
125,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,2.3,light intensity drizzle
126,Ponta Do Sol,PT,32.6667,-17.1,73.0,75,20,1.28,few clouds
127,Nagapattinam,IN,10.7667,79.8333,85.24,59,100,12.57,overcast clouds
128,Mirpur Khas,PK,25.5251,69.0159,86.22,68,2,23.89,clear sky
129,Kodiak,US,57.79,-152.4072,49.51,76,75,12.66,broken clouds
130,Lompoc,US,34.6391,-120.4579,72.63,65,0,12.66,clear sky
131,Airai,TL,-8.9266,125.4092,58.37,91,36,3.38,scattered clouds
132,Alofi,NU,-19.0595,-169.9187,79.59,74,8,12.82,clear sky
133,Matagami,CA,49.7502,-77.6328,45.0,70,100,4.59,overcast clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,0,12.66,clear sky
135,Ilhabela,BR,-23.7781,-45.3581,70.93,68,1,4.25,clear sky
136,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,11.5,few clouds
137,Skibbereen,IE,51.55,-9.2667,56.1,78,53,15.57,broken clouds
138,Cockburn Town,TC,21.4612,-71.1419,79.41,79,49,19.82,scattered clouds
139,Council Bluffs,US,41.2619,-95.8608,65.52,41,0,9.22,clear sky
140,Sojat,IN,25.9167,73.6667,90.03,46,0,20.47,clear sky
141,Kieta,PG,-6.2167,155.6333,78.31,81,29,2.28,scattered clouds
142,Xingyi,CN,24.1877,102.817,57.07,97,100,2.08,overcast clouds
143,Ilulissat,GL,69.2167,-51.1,35.62,93,75,5.75,light rain and snow
144,Chalon-Sur-Saone,FR,46.7833,4.85,68.94,71,85,18.52,overcast clouds
145,Yantal,RU,56.8471,105.2542,41.65,85,72,2.39,broken clouds
146,Cidreira,BR,-30.1811,-50.2056,63.45,63,100,4.45,overcast clouds
147,Bredasdorp,ZA,-34.5322,20.0403,56.7,88,42,5.61,scattered clouds
148,Churapcha,RU,62.0025,132.4325,36.46,85,4,5.06,clear sky
149,Hovd,MN,48.0056,91.6419,64.53,20,100,2.1,overcast clouds
150,Wangqing,CN,43.3218,129.7634,48.7,83,20,1.92,few clouds
151,Flinders,AU,-34.5833,150.8552,55.18,91,98,4.0,light rain
152,Ketchikan,US,55.3422,-131.6461,57.67,51,0,11.5,clear sky
153,Kharitonovo,RU,61.4009,47.4978,32.52,98,100,9.75,snow
154,Filadelfia,US,39.9523,-75.1638,92.39,55,37,5.99,scattered clouds
155,Folldal,NO,62.1325,9.9968,51.3,58,82,8.34,broken clouds
156,Nouadhibou,MR,20.931,-17.0347,65.7,92,3,25.79,clear sky
157,San Patricio,US,28.017,-97.5169,79.84,58,97,11.52,overcast clouds
158,Rongcheng,CN,30.634,117.8517,68.22,82,100,2.86,overcast clouds
159,Vardo,NO,70.3705,31.1107,37.38,93,75,16.11,broken clouds
160,Pemba,MZ,-12.974,40.5178,77.7,88,20,6.91,few clouds
161,Chisec,GT,15.8167,-90.2833,93.43,36,86,2.55,overcast clouds
162,Panama City,PA,8.9936,-79.5197,86.43,71,40,3.44,scattered clouds
163,Meulaboh,ID,4.1363,96.1285,78.26,86,100,1.52,overcast clouds
164,Shakhtinsk,KZ,49.71,72.5872,46.15,52,26,7.18,scattered clouds
165,Kahului,US,20.8947,-156.47,80.62,65,20,10.36,few clouds
166,Calama,CL,-22.4667,-68.9333,68.49,10,0,14.97,clear sky
167,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,13.8,few clouds
168,Port Moresby,PG,-9.4431,147.1797,76.44,89,48,7.23,scattered clouds
169,Kukmor,RU,56.1855,50.8944,32.16,80,72,5.53,broken clouds
170,Egvekinot,RU,66.3167,-179.1667,41.83,59,100,4.41,overcast clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,51.78,74,6,5.93,clear sky
172,Honningsvag,NO,70.9821,25.9704,46.15,76,54,3.44,broken clouds
173,Boyolangu,ID,-8.1181,111.8935,75.18,89,74,1.52,broken clouds
