City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
476,Sao Geraldo Do Araguaia,BR,82.49,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
490,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
493,Tarauaca,BR,86.86,broken clouds,-8.1614,-70.7656,Flat Temporada
494,Sinnamary,GF,80.24,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
496,Lake Charles,US,77.22,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
498,Ranong,TH,80.85,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
500,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
504,Jalu,LY,79.38,clear sky,29.0331,21.5482,صاحبة الفخامة
505,Lasa,IT,77.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
506,Florence,IT,76.68,clear sky,43.7667,11.25,Hotel Nuova Italia
507,Takoradi,GH,76.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
508,Manaure,CO,89.2,clear sky,11.7751,-72.4445,Hotel Palaaima
510,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,Kandrian,PG,77.09,broken clouds,-6.2167,149.55,Kandrian Station
514,Isangel,VU,76.14,broken clouds,-19.55,169.2667,Tanna Lodge
516,Barreirinha,BR,81.46,scattered clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
517,Rafraf,TN,75.52,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
527,Nibbar,TN,84.88,clear sky,36.2941,8.7666,دار الضيافة ألف ليلة وليلة
528,Liku,ID,75.6,overcast clouds,-0.7275,119.8922,Wahyu
529,Bambanglipuro,ID,77.9,overcast clouds,-7.95,110.2833,Puri Brata
534,Mogadishu,SO,80.78,overcast clouds,2.0371,45.3438,Hotel Juba
537,Sertanopolis,BR,77.07,clear sky,-23.0586,-51.0364,HOTEL SERTANÓPOLIS
538,Daru,PG,80.19,broken clouds,-9.0763,143.2092,Daru Lodge
539,Bonthe,SL,79.39,moderate rain,7.5264,-12.505,Bonthe Holiday Village
544,Urucara,BR,86.76,clear sky,-2.5364,-57.76,Pousada Maria Bonita
548,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
550,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
552,Wanning,CN,78.75,overcast clouds,18.8003,110.3967,Paradise Hotel
554,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
557,Tabuk,PH,75.11,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
564,Dicabisagan,PH,78.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
570,Laguna,US,84.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
571,Bushehr,IR,86.09,clear sky,28.9684,50.8385,Yas Hotel
574,Mabaruma,GY,81.88,broken clouds,8.2,-59.7833,Monty Brooms Guest House
575,Capoterra,IT,76.41,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
579,Fare,PF,80.42,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Pantai Remis,MY,80.62,overcast clouds,4.4557,100.6288,Leisure Homestay
585,Las Colinas,PA,81.75,broken clouds,8.55,-80.0833,Fundación Grinbio
586,Galle,LK,80.01,few clouds,6.0367,80.217,Amangalla
588,Barra,BR,86.76,clear sky,-11.0894,-43.1417,Motel Albatroz
591,Ishigaki,JP,77.13,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
593,Limbang,MY,78.91,moderate rain,4.75,115.0,Purnama Hotel
602,Dagua,CO,77.76,scattered clouds,3.6569,-76.6886,Hostal Río Dagua
604,West Bay,KY,87.08,haze,19.3667,-81.4167,Calypso Cove
608,Morristown,US,84.38,few clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
609,Vanimo,PG,78.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
610,Tevaitoa,PF,80.35,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
613,Tatawin,TN,84.69,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
614,Kingman,US,80.13,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
615,Tautira,PF,79.34,light rain,-17.7333,-149.15,Pension Oaoa
622,Dawei,MM,76.78,overcast clouds,14.0833,98.2,Hotel Dawei
632,Omboue,GA,75.72,broken clouds,-1.5746,9.2618,Hotel Olako
638,Bolobo,CD,75.52,overcast clouds,-2.1667,16.2333,Hotel de Stephen
640,Keti Bandar,PK,82.47,few clouds,24.1447,67.4497,Haji laloo memon house
641,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
649,Qeshm,IR,89.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
653,Umm Lajj,SA,81.07,clear sky,25.0213,37.2685,Moon light Furnished Units
654,Hirara,JP,76.69,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
655,Mahibadhoo,MV,83.52,broken clouds,3.7833,72.9667,Omadhoo Inn
656,Sitangkai,PH,83.61,overcast clouds,4.6628,119.3928,Ama House
658,Faanui,PF,80.51,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
664,Orocue,CO,88.2,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
667,Kroya,ID,77.38,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
674,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
676,Labrea,BR,89.02,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
679,Diego De Almagro,CL,78.31,clear sky,-26.3667,-70.05,hotel luna del desierto
681,Karangasem,ID,77.61,overcast clouds,-8.45,115.6167,Villa Campuhan
683,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
688,Carauari,BR,87.19,scattered clouds,-4.8828,-66.8958,Hotel Fellip
689,Axim,GH,76.59,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
690,Nathdwara,IN,84.63,clear sky,24.9333,73.8167,Hotel Sudarshan
693,Loralai,PK,78.13,few clouds,30.3705,68.598,Saddam Hotel & Resturant
