City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Meulaboh,ID,2022-05-16 14:46:49,4.1363,96.1285,79.77,83,100,3.38
59,Bathsheba,BB,2022-05-16 14:46:49,13.2167,-59.5167,86.61,74,75,24.16
60,Longyearbyen,SJ,2022-05-16 14:35:04,78.2186,15.6401,31.84,69,75,10.36
61,Kaitangata,NZ,2022-05-16 14:39:28,-46.2817,169.8464,51.6,78,47,6.44
62,Tasiilaq,GL,2022-05-16 14:37:30,65.6145,-37.6368,36.01,98,100,10.74
63,Bambous Virieux,MU,2022-05-16 14:42:23,-20.3428,57.7575,77.25,69,75,14.97
64,Bitung,ID,2022-05-16 14:46:51,1.4451,125.1824,77.85,82,66,2.15
65,Labuhan,ID,2022-05-16 14:46:52,-6.8844,112.2051,81.97,78,100,2.51
66,Albany,US,2022-05-16 14:37:15,42.6001,-73.9662,73.62,83,67,5.93
67,Pangnirtung,CA,2022-05-16 14:46:53,66.1451,-65.7125,21.2,86,20,6.91
68,Gorontalo,ID,2022-05-16 14:46:53,0.5412,123.0595,76.28,95,90,2.89
69,Hithadhoo,MV,2022-05-16 14:37:40,-0.6,73.0833,83.73,75,67,14.23
70,Cuxhaven,DE,2022-05-16 14:46:54,53.8718,8.6909,75.4,35,40,14.97
71,Nanortalik,GL,2022-05-16 14:39:12,60.1432,-45.2371,37.36,76,100,7.56
72,Kilindoni,TZ,2022-05-16 14:46:54,-7.9139,39.6668,80.82,71,29,16.44
73,Vila Franca Do Campo,PT,2022-05-16 14:46:55,37.7167,-25.4333,63.01,65,77,15.97
74,Esperance,AU,2022-05-16 14:42:17,-33.8667,121.9,56.17,76,0,14.65
75,Carnarvon,AU,2022-05-16 14:46:56,-24.8667,113.6333,71.65,51,0,11.34
76,Chokurdakh,RU,2022-05-16 14:43:53,70.6333,147.9167,24.57,96,100,13.6
77,Broome,US,2022-05-16 14:46:56,42.2506,-75.833,76.01,74,45,5.01
78,Saskylakh,RU,2022-05-16 14:37:14,71.9167,114.0833,29.59,93,100,8.08
79,Banda Aceh,ID,2022-05-16 14:46:57,5.5577,95.3222,81.93,77,100,5.17
80,Pacific Grove,US,2022-05-16 14:44:33,36.6177,-121.9166,55.81,90,100,11.01
81,Ilulissat,GL,2022-05-16 14:39:03,69.2167,-51.1,30.22,55,0,4.61
82,Manzhouli,CN,2022-05-16 14:46:57,49.6,117.4333,53.31,35,40,8.7
83,Frutigen,CH,2022-05-16 14:46:58,46.5878,7.6475,73.63,45,100,3.83
84,Lexington Park,US,2022-05-16 14:46:59,38.2668,-76.4538,74.66,86,100,10.36
85,Makabe,JP,2022-05-16 14:46:59,36.2667,140.1,57.02,95,100,4.14
86,Sitka,US,2022-05-16 14:45:57,57.0531,-135.33,42.69,81,100,5.75
87,Barrow,US,2022-05-16 14:42:00,71.2906,-156.7887,15.82,79,100,16.11
88,Portland,US,2022-05-16 14:44:17,45.5234,-122.6762,56.98,83,100,8.01
89,Caravelas,BR,2022-05-16 14:44:28,-17.7125,-39.2481,84.7,62,61,7.61
90,Sverdlovskiy,RU,2022-05-16 14:47:00,55.9108,38.1536,55.89,53,81,10.87
91,Beringovskiy,RU,2022-05-16 14:47:00,63.05,179.3167,33.67,82,2,7.27
92,Tynda,RU,2022-05-16 14:48:02,55.1667,124.7167,27.0,72,17,5.19
93,Tuatapere,NZ,2022-05-16 14:48:03,-46.1333,167.6833,53.71,94,97,2.1
94,Kolosovka,RU,2022-05-16 14:48:03,56.4678,73.611,56.68,84,70,9.8
95,Palmer,US,2022-05-16 14:45:49,42.1584,-72.3287,81.64,68,75,4.61
96,Khatanga,RU,2022-05-16 14:42:12,71.9667,102.5,28.74,90,98,10.31
97,Souillac,MU,2022-05-16 14:44:34,-20.5167,57.5167,77.38,69,75,14.97
98,Juneau,US,2022-05-16 14:43:12,58.3019,-134.4197,46.22,89,75,0.0
99,Kapaa,US,2022-05-16 14:48:04,22.0752,-159.319,72.12,93,100,11.5
100,Tenenkou,ML,2022-05-16 14:48:04,14.4572,-4.9169,106.36,6,7,1.54
101,Lagunas,PE,2022-05-16 14:48:05,-5.2269,-75.6753,85.17,64,66,2.46
102,Ribeira Grande,PT,2022-05-16 14:48:06,38.5167,-28.7,61.2,63,20,21.85
103,Coihaique,CL,2022-05-16 14:48:06,-45.5752,-72.0662,26.55,93,20,0.0
104,Calabozo,VE,2022-05-16 14:48:07,8.9242,-67.4293,90.61,50,100,10.6
105,Pitimbu,BR,2022-05-16 14:48:08,-7.4706,-34.8086,84.79,74,40,11.99
106,Samarai,PG,2022-05-16 14:39:05,-10.6167,150.6667,79.43,77,30,3.56
107,Abu Dhabi,AE,2022-05-16 14:47:38,24.4667,54.3667,93.22,40,0,12.66
108,Puerto Ayacucho,VE,2022-05-16 14:48:09,5.6639,-67.6236,83.19,76,100,4.56
109,Touros,BR,2022-05-16 14:44:19,-5.1989,-35.4608,85.05,70,83,13.58
110,Mangrol,IN,2022-05-16 14:48:09,21.1167,70.1167,84.24,72,3,13.71
111,Torbay,CA,2022-05-16 14:48:11,47.6666,-52.7314,47.28,70,75,12.66
112,Kungurtug,RU,2022-05-16 14:48:11,50.5994,97.5228,56.28,45,100,2.19
113,Kudat,MY,2022-05-16 14:48:12,6.8837,116.8477,78.73,94,20,0.0
114,Port Shepstone,ZA,2022-05-16 14:48:13,-30.7414,30.455,70.47,80,0,19.37
115,Russell,US,2022-05-16 14:48:13,32.3502,-85.1999,77.92,73,0,0.0
116,Faya,SA,2022-05-16 14:48:14,18.3851,42.4509,84.72,9,3,10.76
117,Champerico,GT,2022-05-16 14:48:14,14.3,-91.9167,84.74,64,50,7.52
118,Codrington,AU,2022-05-16 14:48:15,-38.2667,141.9667,51.4,70,100,12.64
119,Mogadouro,PT,2022-05-16 14:48:16,41.3403,-6.7119,73.26,38,69,14.38
120,Nizwa,OM,2022-05-16 14:48:16,22.9333,57.5333,93.31,10,0,1.81
121,Kutum,SD,2022-05-16 14:48:17,14.2,24.6667,91.6,15,31,13.35
122,Ponta Do Sol,PT,2022-05-16 14:48:17,32.6667,-17.1,79.72,70,0,7.23
123,Taltal,CL,2022-05-16 14:48:18,-25.4,-70.4833,64.24,67,100,6.71
124,Lewisporte,CA,2022-05-16 14:48:20,49.2499,-55.0482,46.11,56,98,4.05
125,Frederico Westphalen,BR,2022-05-16 14:48:20,-27.3592,-53.3944,51.44,53,1,8.14
126,Chuy,UY,2022-05-16 14:48:21,-33.6971,-53.4616,53.56,82,60,19.26
127,Cidreira,BR,2022-05-16 14:42:31,-30.1811,-50.2056,57.04,57,1,17.67
128,Chapais,CA,2022-05-16 14:48:21,49.7834,-74.8492,62.38,58,100,7.78
129,Cabo San Lucas,MX,2022-05-16 14:42:02,22.8909,-109.9124,78.51,56,97,4.0
130,Lavrentiya,RU,2022-05-16 14:48:22,65.5833,-171.0,16.92,88,84,7.4
131,Obihiro,JP,2022-05-16 14:48:22,42.9172,143.2044,45.73,60,41,2.75
132,Thinadhoo,MV,2022-05-16 14:48:23,0.5333,72.9333,84.7,74,91,16.2
133,Kahului,US,2022-05-16 14:44:31,20.8947,-156.47,73.85,68,0,6.91
134,Matara,LK,2022-05-16 14:48:24,5.9485,80.5353,78.76,90,100,13.51
135,Jalu,LY,2022-05-16 14:48:24,29.0331,21.5482,88.25,19,0,10.25
136,Upernavik,GL,2022-05-16 14:48:25,72.7868,-56.1549,18.52,76,59,7.85
137,Skibbereen,IE,2022-05-16 14:49:11,51.55,-9.2667,58.1,81,37,14.85
138,Hobart,AU,2022-05-16 14:46:21,-42.8794,147.3294,45.27,89,47,8.05
139,Newport,GB,2022-05-16 14:49:25,51.5877,-2.9984,68.07,82,93,4.0
140,Ayan,RU,2022-05-16 14:49:26,56.45,138.1667,32.36,97,98,8.52
141,Alofi,NU,2022-05-16 14:49:27,-19.0595,-169.9187,67.89,88,40,5.75
142,Mar Del Plata,AR,2022-05-16 14:49:27,-38.0023,-57.5575,53.94,83,100,8.99
143,Severo-Kurilsk,RU,2022-05-16 14:44:17,50.6789,156.125,35.31,97,93,11.48
144,Doembang Nangbuat,TH,2022-05-16 14:49:28,14.8333,100.1,82.89,67,92,5.48
145,Prainha,BR,2022-05-16 14:40:50,-1.8,-53.48,82.49,74,100,4.32
146,Geraldton,AU,2022-05-16 14:42:35,-28.7667,114.6,52.21,93,0,4.61
147,Llanes,ES,2022-05-16 14:49:29,43.4198,-4.7549,68.74,73,58,7.07
148,Sao Joao Da Barra,BR,2022-05-16 14:40:48,-21.6403,-41.0511,82.49,63,100,6.15
149,Burns Lake,CA,2022-05-16 14:49:29,54.2331,-125.7533,42.22,92,100,4.32
150,Riverton,US,2022-05-16 14:49:30,40.5219,-111.9391,72.84,41,0,10.0
151,Krasnoborsk,RU,2022-05-16 14:49:31,61.5598,45.934,53.94,76,100,4.61
152,Tura,IN,2022-05-16 14:49:32,25.5198,90.2201,72.73,98,91,6.02
153,New Albany,US,2022-05-16 14:49:33,38.2856,-85.8241,69.12,69,40,14.97
154,Hokitika,NZ,2022-05-16 14:49:33,-42.7167,170.9667,56.07,88,88,4.0
155,Consuelo,PH,2022-05-16 14:49:34,10.6348,124.301,83.25,77,100,8.01
156,Korla,CN,2022-05-16 14:49:34,41.7597,86.1469,74.91,28,100,12.5
157,Tokur,RU,2022-05-16 14:49:35,53.1333,132.9,21.58,91,51,3.58
158,Atar,MR,2022-05-16 14:49:35,20.5169,-13.0499,109.17,8,14,17.29
159,Sale,MA,2022-05-16 14:48:49,34.0389,-6.8166,82.63,50,18,13.8
160,Montepuez,MZ,2022-05-16 14:49:36,-13.1256,38.9997,72.34,56,98,4.36
161,Batasan,PH,2022-05-16 14:49:37,12.7667,120.7833,82.42,74,86,2.13
162,Nara,JP,2022-05-16 14:49:37,34.6851,135.8049,64.49,61,100,2.8
163,Tiznit,MA,2022-05-16 14:49:38,29.5833,-9.5,76.91,37,0,12.28
164,Jutai,BR,2022-05-16 14:49:39,-5.1833,-68.9,74.62,97,100,1.34
165,Petropavlovsk-Kamchatskiy,RU,2022-05-16 14:49:40,53.0452,158.6483,32.59,100,100,2.24
166,Do Gonbadan,IR,2022-05-16 14:49:42,30.3586,50.7981,98.69,11,0,13.8
167,Vila Velha,BR,2022-05-16 14:49:43,-20.3297,-40.2925,82.35,65,0,4.61
168,Sambava,MG,2022-05-16 14:49:43,-14.2667,50.1667,77.25,77,2,16.71
169,Chumikan,RU,2022-05-16 14:49:44,54.7183,135.315,31.48,90,100,7.81
170,Denpasar,ID,2022-05-16 14:48:22,-8.65,115.2167,82.06,83,20,4.61
171,Kirakira,SB,2022-05-16 14:49:44,-10.4544,161.9205,78.51,84,100,4.76
172,Mount Gambier,AU,2022-05-16 14:49:45,-37.8333,140.7667,51.57,67,100,10.67
173,Verkhoyansk,RU,2022-05-16 14:49:46,67.5447,133.385,21.96,99,95,2.71
174,Belyy Yar,RU,2022-05-16 14:49:46,53.6039,91.3903,64.29,59,0,4.47
175,Salto Del Guaira,PY,2022-05-16 14:49:47,-24.0625,-54.3069,67.08,61,48,1.01
176,Narsaq,GL,2022-05-16 14:42:21,60.9167,-46.05,46.62,54,98,4.23
177,Sola,VU,2022-05-16 14:49:47,-13.8833,167.55,79.88,78,98,16.64
178,Hilo,US,2022-05-16 14:47:04,19.7297,-155.09,76.28,92,100,4.61
